"filename", "language", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Branding\Branding.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Commerce.svg", "XML", 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Commerce\Commerce.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 5, 156
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Commerce\Commerce.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\ContentWriting\Content.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 4, 109
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Design.svg", "XML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\DigitalMarketing\DMarketing.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 153
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Service.js", "JavaScript", 485, 0, 0, 0, 0, 0, 0, 0, 15, 22, 522
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Service.scss", "SCSS", 0, 0, 463, 0, 0, 0, 0, 0, 4, 55, 522
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\Side-S.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\WebDev\Webdev.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 0, 1, 5, 152
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\WebDev\Webdev.scss", "SCSS", 0, 0, 324, 0, 0, 0, 0, 0, 2, 41, 367
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\app.svg", "XML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\hero-circle.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\marketing.svg", "XML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\web.svg", "XML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\JOHN\macgroup-\src\pages\ServicePage\writing.svg", "XML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\JOHN\macgroup-\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"Total", "-", 3196, 414, 3827, 190, 38, 38, 81653, 31, 135, 828, 90350
